func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.00281157	57.6191
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00634639	57.4342
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0113552	57.0664
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0200099	50.6
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0291066	50.0917
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0144929	11.1779
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0321576	11.3348
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0539508	12.0109
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0838984	12.0682
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.12238	11.9137
