func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.0036902
transpose(Dense)	Dense	float	2000	2000	0.0156469
transpose(Dense)	Dense	float	3000	3000	0.0491251
transpose(Dense)	Dense	float	4000	4000	0.0969968
transpose(Dense)	Dense	float	5000	5000	0.15367
transpose(Dense)	Dense	double	1000	1000	0.00353424
transpose(Dense)	Dense	double	2000	2000	0.0279153
transpose(Dense)	Dense	double	3000	3000	0.0741081
transpose(Dense)	Dense	double	4000	4000	0.148498
transpose(Dense)	Dense	double	5000	5000	0.229733
