func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.0174176	0.114826
mv_mul(Dense)	float	2000	2000	0.00158621	5.04346
mv_mul(Dense)	float	3000	3000	0.00181049	9.94206
mv_mul(Dense)	float	4000	4000	0.00223594	14.3116
mv_mul(Dense)	float	5000	5000	0.00236777	21.1169
mv_mul(Dense)	float	6000	6000	0.00272634	26.409
mv_mul(Dense)	float	7000	7000	0.00321297	30.5014
mv_mul(Dense)	float	8000	8000	0.00390563	32.7732
mv_mul(Dense)	float	9000	9000	0.0046285	35.0006
mv_mul(Dense)	float	10000	10000	0.00526756	37.9682
mv_mul(Dense)	double	1000	1000	0.00126069	1.58643
mv_mul(Dense)	double	2000	2000	0.00152929	5.2312
mv_mul(Dense)	double	3000	3000	0.00192721	9.33993
mv_mul(Dense)	double	4000	4000	0.00252398	12.6784
mv_mul(Dense)	double	5000	5000	0.00331041	15.1039
mv_mul(Dense)	double	6000	6000	0.00420219	17.1339
mv_mul(Dense)	double	7000	7000	0.00517321	18.9438
mv_mul(Dense)	double	8000	8000	0.00644913	19.8476
mv_mul(Dense)	double	9000	9000	0.00799753	20.2563
