func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00176511	1.13307
matvec(Dense)	float	2000	2000	6.43377e-05	124.344
matvec(Dense)	float	3000	3000	0.000258283	69.6911
matvec(Dense)	float	4000	4000	0.00504012	6.34906
matvec(Dense)	float	5000	5000	0.00941965	5.30805
matvec(Dense)	float	6000	6000	0.0145437	4.95061
matvec(Dense)	float	7000	7000	0.0202339	4.84335
matvec(Dense)	float	8000	8000	0.0273983	4.67182
matvec(Dense)	float	9000	9000	0.0205612	7.87893
matvec(Dense)	float	10000	10000	0.0432333	4.62606
matvec(Dense)	double	1000	1000	6.57097e-05	30.4369
matvec(Dense)	double	2000	2000	0.000137456	58.2003
matvec(Dense)	double	3000	3000	0.0041564	4.33068
matvec(Dense)	double	4000	4000	0.00930483	3.43907
matvec(Dense)	double	5000	5000	0.0128636	3.88695
matvec(Dense)	double	6000	6000	0.0224408	3.20844
matvec(Dense)	double	7000	7000	0.0317458	3.08703
matvec(Dense)	double	8000	8000	0.0307478	4.1629
matvec(Dense)	double	9000	9000	0.0532419	3.04272
matvec(Dense)	double	10000	10000	0.0821408	2.43484
