func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00179515	1.11411
mv_mul(Dense)	float	2000	2000	6.69211e-05	119.544
mv_mul(Dense)	float	3000	3000	0.000166721	107.965
mv_mul(Dense)	float	4000	4000	0.00498623	6.41767
mv_mul(Dense)	float	5000	5000	0.00949394	5.26652
mv_mul(Dense)	float	6000	6000	0.0146053	4.92972
mv_mul(Dense)	float	7000	7000	0.0202013	4.85117
mv_mul(Dense)	float	8000	8000	0.0267688	4.78169
mv_mul(Dense)	float	9000	9000	0.015967	10.1459
mv_mul(Dense)	float	10000	10000	0.0423777	4.71947
mv_mul(Dense)	double	1000	1000	0.00015137	13.2127
mv_mul(Dense)	double	2000	2000	0.000161654	49.4885
mv_mul(Dense)	double	3000	3000	0.00417714	4.30917
mv_mul(Dense)	double	4000	4000	0.00935663	3.42003
mv_mul(Dense)	double	5000	5000	0.013815	3.61926
mv_mul(Dense)	double	6000	6000	0.0182154	3.95271
mv_mul(Dense)	double	7000	7000	0.0411535	2.38133
mv_mul(Dense)	double	8000	8000	0.0168072	7.61577
mv_mul(Dense)	double	9000	9000	0.0678432	2.38786
mv_mul(Dense)	double	10000	10000	0.0656795	3.04509
