func	prec	M	N	K	time[sec]	perf[GFLOPS] 
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0179688	111.304
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.010728	1491.43
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0281314	1919.56
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0615293	2080.31
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.123514	2024.07
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0277886	71.9719
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.210027	76.1809
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.686505	78.6593
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.6343	78.3209
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.20689	77.9573
