func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0165505	0.120842
matvec(Dense)	float	2000	2000	0.000682291	11.7252
matvec(Dense)	float	3000	3000	0.000899769	20.0051
matvec(Dense)	float	4000	4000	0.00121178	26.4075
matvec(Dense)	float	5000	5000	0.00153574	32.5576
matvec(Dense)	float	6000	6000	0.00196451	36.6503
matvec(Dense)	float	7000	7000	0.00247816	39.5455
matvec(Dense)	float	8000	8000	0.0031748	40.3175
matvec(Dense)	float	9000	9000	0.0037882	42.7644
matvec(Dense)	float	10000	10000	0.00452918	44.1581
matvec(Dense)	double	1000	1000	0.000549007	3.64294
matvec(Dense)	double	2000	2000	0.000811076	9.86345
matvec(Dense)	double	3000	3000	0.00120706	14.9123
matvec(Dense)	double	4000	4000	0.00182404	17.5435
matvec(Dense)	double	5000	5000	0.00249079	20.0739
matvec(Dense)	double	6000	6000	0.00344951	20.8725
matvec(Dense)	double	7000	7000	0.00443029	22.1205
matvec(Dense)	double	8000	8000	0.00568054	22.5331
matvec(Dense)	double	9000	9000	0.00709568	22.8308
