func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00229183	0.436332	3.49066
mscal(Dense)	float	2000	2000	0.00603543	0.662753	5.30202
mscal(Dense)	float	3000	3000	0.0120598	0.746281	5.97025
mscal(Dense)	float	4000	4000	0.0189186	0.84573	6.76584
mscal(Dense)	float	5000	5000	0.0268537	0.930972	7.44778
mscal(Dense)	float	6000	6000	0.0385261	0.934432	7.47546
mscal(Dense)	float	7000	7000	0.0516049	0.949521	7.59617
mscal(Dense)	float	8000	8000	0.0673991	0.949567	7.59654
mscal(Dense)	float	9000	9000	0.086103	0.940734	7.52587
mscal(Dense)	float	10000	10000	0.105006	0.952328	7.61862
mscal(Dense)	double	1000	1000	0.0021551	0.464015	7.42425
mscal(Dense)	double	2000	2000	0.00617526	0.647746	10.3639
mscal(Dense)	double	3000	3000	0.0129474	0.695118	11.1219
mscal(Dense)	double	4000	4000	0.0222847	0.717981	11.4877
mscal(Dense)	double	5000	5000	0.034538	0.723841	11.5815
mscal(Dense)	double	6000	6000	0.049442	0.728126	11.65
mscal(Dense)	double	7000	7000	0.0666347	0.735353	11.7656
mscal(Dense)	double	8000	8000	0.0867233	0.737979	11.8077
mscal(Dense)	double	9000	9000	0.11054	0.732766	11.7243
