func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00473426	0.211226
m_tanh(Dense)	float	2000	2000	0.00108962	3.671
m_tanh(Dense)	float	3000	3000	0.00249238	3.61101
m_tanh(Dense)	float	4000	4000	0.00487704	3.28068
m_tanh(Dense)	float	5000	5000	0.00874396	2.85912
m_tanh(Dense)	float	6000	6000	0.0126167	2.85336
m_tanh(Dense)	float	7000	7000	0.0172615	2.83869
m_tanh(Dense)	float	8000	8000	0.0227506	2.81311
m_tanh(Dense)	float	9000	9000	0.0295775	2.73857
m_tanh(Dense)	float	10000	10000	0.043265	2.31133
m_tanh(Dense)	double	1000	1000	0.00524366	0.190706
m_tanh(Dense)	double	2000	2000	0.00311029	1.28605
m_tanh(Dense)	double	3000	3000	0.00727003	1.23796
m_tanh(Dense)	double	4000	4000	0.0132692	1.2058
m_tanh(Dense)	double	5000	5000	0.0203838	1.22646
m_tanh(Dense)	double	6000	6000	0.0294985	1.2204
m_tanh(Dense)	double	7000	7000	0.0414791	1.18132
m_tanh(Dense)	double	8000	8000	0.0531423	1.20431
m_tanh(Dense)	double	9000	9000	0.0684458	1.18342
m_tanh(Dense)	double	10000	10000	0.0855017	1.16957
