func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0027064	59.8581
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.00611888	59.5697
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.0108067	59.9629
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.0196829	51.4407
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.0298298	48.8773
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0143577	11.2832
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.0323175	11.2787
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.0553472	11.7079
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.0860135	11.7714
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.128417	11.3536
