func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00445593	448.84
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0132395	509.837
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0309402	517.127
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0610035	512.265
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.103907	519.698
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.160827	533.183
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.237638	538.634
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.33729	540.336
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.461119	542.16
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.00915884	218.368
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0278583	242.297
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.063957	250.168
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.119232	262.095
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.20429	264.33
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.318532	269.204
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.476796	268.459
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.669667	272.15
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.920023	271.732
