func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00290393
transpose(Dense)	Dense	float	2000	2000	0.0155312
transpose(Dense)	Dense	float	3000	3000	0.049819
transpose(Dense)	Dense	float	4000	4000	0.0977511
transpose(Dense)	Dense	float	5000	5000	0.155694
transpose(Dense)	Dense	float	6000	6000	0.215114
transpose(Dense)	Dense	float	7000	7000	0.319855
transpose(Dense)	Dense	float	8000	8000	0.395517
transpose(Dense)	Dense	float	9000	9000	0.52915
transpose(Dense)	Dense	float	10000	10000	0.615933
transpose(Dense)	Dense	double	1000	1000	0.00370776
transpose(Dense)	Dense	double	2000	2000	0.0279024
transpose(Dense)	Dense	double	3000	3000	0.0730493
transpose(Dense)	Dense	double	4000	4000	0.15025
transpose(Dense)	Dense	double	5000	5000	0.229531
transpose(Dense)	Dense	double	6000	6000	0.343774
transpose(Dense)	Dense	double	7000	7000	0.454364
transpose(Dense)	Dense	double	8000	8000	0.620328
transpose(Dense)	Dense	double	9000	9000	0.753926
transpose(Dense)	Dense	double	10000	10000	0.931701
