func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
axpy	float	1000	3.069e-07	6.51678	39.1007	
axpy	float	10000	1.06138e-05	1.88434	11.306	
axpy	float	100000	1.03834e-05	19.2615	115.569	
axpy	float	1000000	3.51895e-05	56.8351	341.011	
axpy	float	10000000	0.00445217	4.49219	26.9531	
axpy	float	100000000	0.0423165	4.72629	28.3577	
axpy	double	1000	3.43e-07	5.8309	69.9708	
axpy	double	10000	8.8791e-06	2.25248	27.0298	
axpy	double	100000	1.20011e-05	16.6651	199.982	
axpy	double	1000000	5.95439e-05	33.5887	403.064	
axpy	double	10000000	0.00927175	2.15709	25.8851	
axpy	double	100000000	0.0716465	2.79148	33.4978	
