func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00177182	1.12878	
matvec(Dense)	float	2000	2000	6.36732e-05	125.642	
matvec(Dense)	float	3000	3000	0.000183107	98.303	
matvec(Dense)	float	4000	4000	0.00504255	6.34599	
matvec(Dense)	float	5000	5000	0.00952984	5.24668	
matvec(Dense)	float	6000	6000	0.0105919	6.79768	
matvec(Dense)	float	7000	7000	0.0150891	6.49476	
matvec(Dense)	float	8000	8000	0.0198563	6.44632	
matvec(Dense)	float	9000	9000	0.0253335	6.39468	
matvec(Dense)	float	10000	10000	0.0316368	6.32175	
matvec(Dense)	double	1000	1000	0.000165442	12.0888	
matvec(Dense)	double	2000	2000	0.000133128	60.0928	
matvec(Dense)	double	3000	3000	0.00422985	4.25547	
matvec(Dense)	double	4000	4000	0.00926337	3.45447	
matvec(Dense)	double	5000	5000	0.0147577	3.38805	
matvec(Dense)	double	6000	6000	0.0224446	3.2079	
matvec(Dense)	double	7000	7000	0.0314016	3.12086	
matvec(Dense)	double	8000	8000	0.0292642	4.37395	
matvec(Dense)	double	9000	9000	0.0362552	4.46832	
matvec(Dense)	double	10000	10000	0.0585962	3.41319	
