func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	2.783e-07	7.18649	28.746	
dot	float	10000	3.1451e-06	6.3591	25.4364	
dot	float	100000	9.3843e-06	21.3122	85.2488	
dot	float	1000000	2.84391e-05	70.3257	281.303	
dot	float	10000000	0.00684807	2.92053	11.6821	
dot	float	100000000	0.0155565	12.8563	51.4253	
dot	double	1000	3.58e-07	5.58659	44.6927	
dot	double	10000	7.5948e-06	2.63338	21.067	
dot	double	100000	1.04203e-05	19.1933	153.546	
dot	double	1000000	4.84052e-05	41.3179	330.543	
dot	double	10000000	0.0162164	1.23332	9.86654	
dot	double	100000000	0.0424473	4.71173	37.6938	
