func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
asum	float	1000	2.209e-07	4.52694	18.1077	
asum	float	10000	1.3343e-06	7.49457	29.9783	
asum	float	100000	8.7842e-06	11.3841	45.5363	
asum	float	1000000	1.76889e-05	56.5326	226.131	
asum	float	10000000	0.00041384	24.1639	96.6558	
asum	float	100000000	0.00782304	12.7827	51.131	
asum	double	1000	2.992e-07	3.34225	26.738	
asum	double	10000	6.5687e-06	1.52237	12.179	
asum	double	100000	9.2179e-06	10.8485	86.7877	
asum	double	1000000	3.17557e-05	31.4904	251.923	
asum	double	10000000	0.00154189	6.48553	51.8842	
asum	double	100000000	0.0737353	1.3562	10.8496	
