func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0164521	0.121565	
matvec(Dense)	float	2000	2000	0.000682174	11.7272	
matvec(Dense)	float	3000	3000	0.000905526	19.8779	
matvec(Dense)	float	4000	4000	0.00121233	26.3954	
matvec(Dense)	float	5000	5000	0.00153398	32.595	
matvec(Dense)	float	6000	6000	0.00196606	36.6215	
matvec(Dense)	float	7000	7000	0.00249503	39.2782	
matvec(Dense)	float	8000	8000	0.00317954	40.2574	
matvec(Dense)	float	9000	9000	0.00377784	42.8817	
matvec(Dense)	float	10000	10000	0.00453605	44.0912	
matvec(Dense)	double	1000	1000	0.000549253	3.64131	
matvec(Dense)	double	2000	2000	0.000811678	9.85613	
matvec(Dense)	double	3000	3000	0.00121552	14.8085	
matvec(Dense)	double	4000	4000	0.00181932	17.589	
matvec(Dense)	double	5000	5000	0.00249464	20.043	
matvec(Dense)	double	6000	6000	0.00345591	20.8339	
matvec(Dense)	double	7000	7000	0.00443374	22.1032	
matvec(Dense)	double	8000	8000	0.00567636	22.5497	
matvec(Dense)	double	9000	9000	0.0070957	22.8307	
