func	prec	M	N	time[sec]	perf[GFLOPS]	perf[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	0.000105832	9.44891	113.387	
matadd(Dense,Dense,Dense)	float	2000	2000	0.00214909	1.86125	22.335	
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107792	0.834939	10.0193	
matadd(Dense,Dense,Dense)	float	4000	4000	0.0160471	0.997063	11.9648	
matadd(Dense,Dense,Dense)	float	5000	5000	0.026169	0.95533	11.464	
matadd(Dense,Dense,Dense)	float	6000	6000	0.0365863	0.983975	11.8077	
matadd(Dense,Dense,Dense)	float	7000	7000	0.0525354	0.932704	11.1925	
matadd(Dense,Dense,Dense)	float	8000	8000	0.0566705	1.12933	13.552	
matadd(Dense,Dense,Dense)	float	9000	9000	0.0694384	1.1665	13.998	
matadd(Dense,Dense,Dense)	float	10000	10000	0.0855103	1.16945	14.0334	
matadd(Dense,Dense,Dense)	double	1000	1000	0.000105644	9.46577	227.178	
matadd(Dense,Dense,Dense)	double	2000	2000	0.00912955	0.438138	10.5153	
matadd(Dense,Dense,Dense)	double	3000	3000	0.0186486	0.482611	11.5827	
matadd(Dense,Dense,Dense)	double	4000	4000	0.0343954	0.465178	11.1643	
matadd(Dense,Dense,Dense)	double	5000	5000	0.0533036	0.469011	11.2563	
matadd(Dense,Dense,Dense)	double	6000	6000	0.0747139	0.481838	11.5641	
matadd(Dense,Dense,Dense)	double	7000	7000	0.0685572	0.714732	17.1536	
matadd(Dense,Dense,Dense)	double	8000	8000	0.114569	0.558617	13.4068	
matadd(Dense,Dense,Dense)	double	9000	9000	0.135711	0.596856	14.3245	
matadd(Dense,Dense,Dense)	double	10000	10000	0.146615	0.682058	16.3694	
