func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.738878	0.219251
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	1.75045	0.208232
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	3.57816	0.181099
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	5.75623	0.175896
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	8.29522	0.175764
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.845106	0.191692
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	2.15282	0.169313
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	4.01696	0.161316
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	6.49922	0.155788
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	9.21798	0.158169
