func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00307468
transpose(Dense)	Dense	float	2000	2000	0.0158077
transpose(Dense)	Dense	float	3000	3000	0.048139
transpose(Dense)	Dense	float	4000	4000	0.0985799
transpose(Dense)	Dense	float	5000	5000	0.155299
transpose(Dense)	Dense	double	1000	1000	0.00356761
transpose(Dense)	Dense	double	2000	2000	0.0280153
transpose(Dense)	Dense	double	3000	3000	0.0740692
transpose(Dense)	Dense	double	4000	4000	0.1488
transpose(Dense)	Dense	double	5000	5000	0.230447
