func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(Dense)	float	1000	1000	0.00189575	1.05499
mv_mul(Dense)	float	2000	2000	6.71296e-05	119.172
mv_mul(Dense)	float	3000	3000	0.000290981	61.8597
mv_mul(Dense)	float	4000	4000	0.00494429	6.47211
mv_mul(Dense)	float	5000	5000	0.00936572	5.33862
mv_mul(Dense)	float	6000	6000	0.0147311	4.88762
mv_mul(Dense)	float	7000	7000	0.0196881	4.97762
mv_mul(Dense)	float	8000	8000	0.0264355	4.84197
mv_mul(Dense)	float	9000	9000	0.024326	6.65954
mv_mul(Dense)	float	10000	10000	0.0425451	4.7009
mv_mul(Dense)	double	1000	1000	6.74173e-05	29.666
mv_mul(Dense)	double	2000	2000	0.000144228	55.4677
mv_mul(Dense)	double	3000	3000	0.00421913	4.26629
mv_mul(Dense)	double	4000	4000	0.00934979	3.42254
mv_mul(Dense)	double	5000	5000	0.0130493	3.83162
mv_mul(Dense)	double	6000	6000	0.0294114	2.44803
mv_mul(Dense)	double	7000	7000	0.0418855	2.33971
mv_mul(Dense)	double	8000	8000	0.0304572	4.20261
mv_mul(Dense)	double	9000	9000	0.057148	2.83474
mv_mul(Dense)	double	10000	10000	0.0757293	2.64099
