func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00584801	341.997
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0311911	512.967
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.101638	531.3
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.236403	541.449
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.450277	555.214
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00946981	211.197
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.0636371	251.426
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.197109	273.96
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.453689	282.132
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.876511	285.222
