func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.76878e-05	17.3347	208.016
matadd(Dense,Dense,Dense)	float	2000	2000	0.00228274	1.75228	21.0274
matadd(Dense,Dense,Dense)	float	3000	3000	0.0107048	0.840742	10.0889
matadd(Dense,Dense,Dense)	float	4000	4000	0.0204339	0.783014	9.39617
matadd(Dense,Dense,Dense)	float	5000	5000	0.0324778	0.769757	9.23709
matadd(Dense,Dense,Dense)	float	6000	6000	0.033656	1.06965	12.8358
matadd(Dense,Dense,Dense)	float	7000	7000	0.0629046	0.778957	9.34749
matadd(Dense,Dense,Dense)	float	8000	8000	0.0678585	0.94314	11.3177
matadd(Dense,Dense,Dense)	float	9000	9000	0.10949	0.739797	8.87756
matadd(Dense,Dense,Dense)	float	10000	10000	0.104108	0.960543	11.5265
matadd(Dense,Dense,Dense)	double	1000	1000	0.000105708	9.46	227.04
matadd(Dense,Dense,Dense)	double	2000	2000	0.00937457	0.426686	10.2405
matadd(Dense,Dense,Dense)	double	3000	3000	0.0210196	0.428173	10.2761
matadd(Dense,Dense,Dense)	double	4000	4000	0.0243707	0.656527	15.7567
matadd(Dense,Dense,Dense)	double	5000	5000	0.0457999	0.545853	13.1005
matadd(Dense,Dense,Dense)	double	6000	6000	0.0933087	0.385816	9.25959
matadd(Dense,Dense,Dense)	double	7000	7000	0.0833554	0.587844	14.1083
matadd(Dense,Dense,Dense)	double	8000	8000	0.132892	0.481594	11.5583
matadd(Dense,Dense,Dense)	double	9000	9000	0.181761	0.445641	10.6954
matadd(Dense,Dense,Dense)	double	10000	10000	0.196826	0.508063	12.1935
