func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0006113	0.265009
mv_mul(CRS)	float	10000	10000	0.000196636	8.23858
mv_mul(CRS)	float	100000	100000	0.00975901	1.66
mv_mul(CRS)	float	1000000	1000000	0.10293	1.57388
mv_mul(CRS)	double	1000	1000	2.96062e-05	5.47183
mv_mul(CRS)	double	10000	10000	0.000234879	6.89716
mv_mul(CRS)	double	100000	100000	0.0155798	1.03981
mv_mul(CRS)	double	1000000	1000000	0.0943176	1.7176
