func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00137488	0.727335
m_tanh(Dense)	float	2000	2000	0.00428144	0.934265
m_tanh(Dense)	float	3000	3000	0.00960044	0.937457
m_tanh(Dense)	float	4000	4000	0.0170586	0.937942
m_tanh(Dense)	float	5000	5000	0.0264356	0.945696
m_tanh(Dense)	float	6000	6000	0.0375085	0.959784
m_tanh(Dense)	float	7000	7000	0.0510801	0.959277
m_tanh(Dense)	float	8000	8000	0.0665676	0.961429
m_tanh(Dense)	float	9000	9000	0.084355	0.960228
m_tanh(Dense)	float	10000	10000	0.104015	0.961404
m_tanh(Dense)	double	1000	1000	0.00286117	0.349507
m_tanh(Dense)	double	2000	2000	0.0113656	0.35194
m_tanh(Dense)	double	3000	3000	0.025806	0.348756
m_tanh(Dense)	double	4000	4000	0.0457283	0.349893
m_tanh(Dense)	double	5000	5000	0.0717597	0.348385
m_tanh(Dense)	double	6000	6000	0.103143	0.34903
m_tanh(Dense)	double	7000	7000	0.140637	0.348414
m_tanh(Dense)	double	8000	8000	0.183625	0.348537
m_tanh(Dense)	double	9000	9000	0.23244	0.348478
