func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0178666	111.941
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0105344	1518.84
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.0280186	1927.29
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0622058	2057.69
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.122102	2047.47
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276183	72.4159
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208715	76.6596
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.682767	79.0899
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62529	78.7554
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.18875	78.4007
