func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00241105	0.414756
m_tanh(Dense)	float	2000	2000	0.0010905	3.66804
m_tanh(Dense)	float	3000	3000	0.00249269	3.61056
m_tanh(Dense)	float	4000	4000	0.00489179	3.27079
m_tanh(Dense)	float	5000	5000	0.00877899	2.84771
m_tanh(Dense)	float	6000	6000	0.0126423	2.84757
m_tanh(Dense)	float	7000	7000	0.0177217	2.76497
m_tanh(Dense)	float	8000	8000	0.0234147	2.73333
m_tanh(Dense)	float	9000	9000	0.0299793	2.70186
m_tanh(Dense)	float	10000	10000	0.0378463	2.64227
m_tanh(Dense)	double	1000	1000	0.000730393	1.36913
m_tanh(Dense)	double	2000	2000	0.00291738	1.37109
m_tanh(Dense)	double	3000	3000	0.00696735	1.29174
m_tanh(Dense)	double	4000	4000	0.0124334	1.28686
m_tanh(Dense)	double	5000	5000	0.0199199	1.25502
m_tanh(Dense)	double	6000	6000	0.0279926	1.28605
m_tanh(Dense)	double	7000	7000	0.0385532	1.27097
m_tanh(Dense)	double	8000	8000	0.0507136	1.26199
m_tanh(Dense)	double	9000	9000	0.0638977	1.26765
m_tanh(Dense)	double	10000	10000	0.0792788	1.26137
