func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228921	0.436832	3.49465
mscal(Dense)	float	2000	2000	0.00602995	0.663355	5.30684
mscal(Dense)	float	3000	3000	0.0120598	0.746279	5.97023
mscal(Dense)	float	4000	4000	0.0189018	0.846482	6.77186
mscal(Dense)	float	5000	5000	0.0268309	0.931762	7.4541
mscal(Dense)	float	6000	6000	0.038405	0.937378	7.49903
mscal(Dense)	float	7000	7000	0.0514499	0.952383	7.61907
mscal(Dense)	float	8000	8000	0.0673337	0.950491	7.60392
mscal(Dense)	float	9000	9000	0.0859708	0.94218	7.53744
mscal(Dense)	float	10000	10000	0.104915	0.953152	7.62522
mscal(Dense)	double	1000	1000	0.00215411	0.464228	7.42765
mscal(Dense)	double	2000	2000	0.00617033	0.648264	10.3722
mscal(Dense)	double	3000	3000	0.0129216	0.696506	11.1441
mscal(Dense)	double	4000	4000	0.0222518	0.719043	11.5047
mscal(Dense)	double	5000	5000	0.0344553	0.725577	11.6092
mscal(Dense)	double	6000	6000	0.0493338	0.729723	11.6756
mscal(Dense)	double	7000	7000	0.0664814	0.737048	11.7928
mscal(Dense)	double	8000	8000	0.0866474	0.738625	11.818
mscal(Dense)	double	9000	9000	0.110359	0.733969	11.7435
