func	prec	M	N	time[sec]	perf[GFLOPS]
matvec(Dense)	float	1000	1000	0.00205267	0.974342
matvec(Dense)	float	2000	2000	6.39134e-05	125.169
matvec(Dense)	float	3000	3000	0.00018266	98.5435
matvec(Dense)	float	4000	4000	0.00507277	6.3082
matvec(Dense)	float	5000	5000	0.0094227	5.30634
matvec(Dense)	float	6000	6000	0.0142611	5.04871
matvec(Dense)	float	7000	7000	0.0201102	4.87316
matvec(Dense)	float	8000	8000	0.0273148	4.68611
matvec(Dense)	float	9000	9000	0.0117242	13.8176
matvec(Dense)	float	10000	10000	0.0320404	6.24213
matvec(Dense)	double	1000	1000	0.000168381	11.8778
matvec(Dense)	double	2000	2000	0.000134956	59.2785
matvec(Dense)	double	3000	3000	0.00414877	4.33863
matvec(Dense)	double	4000	4000	0.00901377	3.55013
matvec(Dense)	double	5000	5000	0.020431	2.44727
matvec(Dense)	double	6000	6000	0.0296435	2.42886
matvec(Dense)	double	7000	7000	0.0205535	4.76804
matvec(Dense)	double	8000	8000	0.041435	3.08918
matvec(Dense)	double	9000	9000	0.0519911	3.11592
matvec(Dense)	double	10000	10000	0.0570653	3.50476
