func	prec	M	N	time[sec]	perf[GFLOPS]
mv_mul(CRS)	float	1000	1000	0.0258345	0.00627068
mv_mul(CRS)	float	2000	2000	0.000898225	0.360711
mv_mul(CRS)	float	4000	4000	0.000913278	0.709532
mv_mul(CRS)	float	8000	8000	0.000933916	1.3877
mv_mul(CRS)	float	16000	16000	0.000988828	2.62128
mv_mul(CRS)	float	32000	32000	0.00177522	2.9202
mv_mul(CRS)	float	64000	64000	0.00249404	4.15711
mv_mul(CRS)	double	1000	1000	0.000895562	0.180892
mv_mul(CRS)	double	2000	2000	0.000903607	0.358563
mv_mul(CRS)	double	4000	4000	0.000924716	0.700755
mv_mul(CRS)	double	8000	8000	0.00089538	1.44743
mv_mul(CRS)	double	16000	16000	0.00145786	1.77794
mv_mul(CRS)	double	32000	32000	0.00193448	2.67978
mv_mul(CRS)	double	64000	64000	0.00291028	3.56255
