func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(Dense,Dense,Dense)	float	1000	1000	5.82941e-05	17.1544	205.853
matadd(Dense,Dense,Dense)	float	2000	2000	0.00203986	1.96092	23.531
matadd(Dense,Dense,Dense)	float	3000	3000	0.0108641	0.828419	9.94103
matadd(Dense,Dense,Dense)	float	4000	4000	0.0203808	0.785051	9.42062
matadd(Dense,Dense,Dense)	float	5000	5000	0.0326659	0.765324	9.18389
matadd(Dense,Dense,Dense)	double	1000	1000	0.000105816	9.45032	226.808
matadd(Dense,Dense,Dense)	double	2000	2000	0.00939484	0.425765	10.2184
matadd(Dense,Dense,Dense)	double	3000	3000	0.0162065	0.555334	13.328
matadd(Dense,Dense,Dense)	double	4000	4000	0.041875	0.38209	9.17016
matadd(Dense,Dense,Dense)	double	5000	5000	0.0641069	0.389974	9.35937
