func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.000538665	0.150372
m_tanh(CRS)	float	2000	2000	0.000536593	0.301905
m_tanh(CRS)	float	4000	4000	0.000976039	0.331954
m_tanh(CRS)	float	8000	8000	0.00190001	0.341051
m_tanh(CRS)	float	16000	16000	0.00371174	0.349163
m_tanh(CRS)	float	32000	32000	0.00728863	0.355623
m_tanh(CRS)	float	64000	64000	0.0147441	0.351598
m_tanh(CRS)	double	1000	1000	0.000440918	0.183708
m_tanh(CRS)	double	2000	2000	0.00078997	0.205071
m_tanh(CRS)	double	4000	4000	0.00150525	0.215247
m_tanh(CRS)	double	8000	8000	0.00295665	0.219167
m_tanh(CRS)	double	16000	16000	0.0058754	0.220581
m_tanh(CRS)	double	32000	32000	0.0116235	0.222996
m_tanh(CRS)	double	64000	64000	0.02264	0.228975
