func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(Dense)	float	1000	1000	0.00228928	0.436818	3.49454
mscal(Dense)	float	2000	2000	0.00603182	0.66315	5.3052
mscal(Dense)	float	3000	3000	0.0120557	0.746533	5.97226
mscal(Dense)	float	4000	4000	0.0187797	0.851984	6.81587
mscal(Dense)	float	5000	5000	0.0267947	0.933022	7.46418
mscal(Dense)	double	1000	1000	0.00213122	0.469214	7.50743
mscal(Dense)	double	2000	2000	0.00611625	0.653996	10.4639
mscal(Dense)	double	3000	3000	0.0128264	0.701679	11.2269
mscal(Dense)	double	4000	4000	0.0221168	0.723431	11.5749
mscal(Dense)	double	5000	5000	0.0342432	0.730071	11.6811
