func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
matadd(CRS,CRS,CRS)	float	1000	1000	0.00146494	0.110585	0.663509
matadd(CRS,CRS,CRS)	float	2000	2000	0.00201866	0.160503	0.963016
matadd(CRS,CRS,CRS)	float	4000	4000	0.00315794	0.205197	1.23118
matadd(CRS,CRS,CRS)	float	8000	8000	0.00532426	0.243414	1.46049
matadd(CRS,CRS,CRS)	float	16000	16000	0.0087007	0.297907	1.78744
matadd(CRS,CRS,CRS)	float	32000	32000	0.0153731	0.337213	2.02328
matadd(CRS,CRS,CRS)	float	64000	64000	0.0283435	0.365798	2.19479
matadd(CRS,CRS,CRS)	double	1000	1000	0.00129405	0.125188	1.50226
matadd(CRS,CRS,CRS)	double	2000	2000	0.00196449	0.164929	1.97914
matadd(CRS,CRS,CRS)	double	4000	4000	0.00301779	0.214727	2.57672
matadd(CRS,CRS,CRS)	double	8000	8000	0.00517985	0.2502	3.0024
matadd(CRS,CRS,CRS)	double	16000	16000	0.00984604	0.263253	3.15904
matadd(CRS,CRS,CRS)	double	32000	32000	0.0183243	0.282902	3.39483
matadd(CRS,CRS,CRS)	double	64000	64000	0.035996	0.288032	3.45638
