func	prec	M	N	time[sec]	perf[GFLOPS]	mem[GB/s]
mscal(CRS)	float	1000	1000	0.00113665	0.071262	0.570096
mscal(CRS)	float	2000	2000	0.00137242	0.11804	0.944317
mscal(CRS)	float	4000	4000	0.00180511	0.179491	1.43593
mscal(CRS)	float	8000	8000	0.0026634	0.243298	1.94638
mscal(CRS)	float	16000	16000	0.00411808	0.31471	2.51768
mscal(CRS)	float	32000	32000	0.00644915	0.401913	3.21531
mscal(CRS)	float	64000	64000	0.0115695	0.448074	3.58459
mscal(CRS)	double	1000	1000	0.000989039	0.0818976	1.31036
mscal(CRS)	double	2000	2000	0.00121479	0.133357	2.13371
mscal(CRS)	double	4000	4000	0.00169122	0.191578	3.06525
mscal(CRS)	double	8000	8000	0.0025587	0.253253	4.05205
mscal(CRS)	double	16000	16000	0.00429913	0.301456	4.8233
mscal(CRS)	double	32000	32000	0.00770278	0.336502	5.38403
mscal(CRS)	double	64000	64000	0.0146894	0.352908	5.64653
