func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(Dense)	float	1000	1000	0.00138333	0.722893
m_tanh(Dense)	float	2000	2000	0.00429831	0.930598
m_tanh(Dense)	float	3000	3000	0.00950485	0.946885
m_tanh(Dense)	float	4000	4000	0.0172113	0.929621
m_tanh(Dense)	float	5000	5000	0.0264592	0.944853
m_tanh(Dense)	double	1000	1000	0.00284185	0.351884
m_tanh(Dense)	double	2000	2000	0.0113402	0.352727
m_tanh(Dense)	double	3000	3000	0.0258803	0.347754
m_tanh(Dense)	double	4000	4000	0.0456434	0.350543
m_tanh(Dense)	double	5000	5000	0.0715669	0.349324
