func	prec	M	N	time[sec]	perf[GFLOPS]
m_tanh(CRS)	float	1000	1000	0.00277595	0.0291792
m_tanh(CRS)	float	2000	2000	0.000102731	1.57694
m_tanh(CRS)	float	4000	4000	0.000189587	1.70897
m_tanh(CRS)	float	8000	8000	0.000357845	1.81084
m_tanh(CRS)	float	16000	16000	0.000690253	1.87757
m_tanh(CRS)	float	32000	32000	0.00134839	1.9223
m_tanh(CRS)	float	64000	64000	0.00272836	1.90004
m_tanh(CRS)	double	1000	1000	9.46711e-05	0.855594
m_tanh(CRS)	double	2000	2000	0.000162782	0.995197
m_tanh(CRS)	double	4000	4000	0.000310171	1.04459
m_tanh(CRS)	double	8000	8000	0.000605968	1.06936
m_tanh(CRS)	double	16000	16000	0.00117266	1.10518
m_tanh(CRS)	double	32000	32000	0.00239096	1.08408
m_tanh(CRS)	double	64000	64000	0.00747292	0.693705
