func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.0178875	111.81
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.00494666	1364.56
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.00983313	1627.15
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0169315	1845.67
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.02576	2096.28
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.0406955	2107.11
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.0602061	2126.03
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.0874571	2083.88
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.121984	2049.46
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.0276633	72.2979
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0881003	76.6173
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.208597	76.7028
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.405931	76.9836
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.681831	79.1986
matmul(Dense,Dense,Dense)	double	3500	3500	3500	1.09107	78.5925
matmul(Dense,Dense,Dense)	double	4000	4000	4000	1.62313	78.86
matmul(Dense,Dense,Dense)	double	4500	4500	4500	2.31671	78.6675
matmul(Dense,Dense,Dense)	double	5000	5000	5000	3.1864	78.4584
