func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	float	1000	1000	1000	0.737712	0.219598
matmul(Dense,CRS,Dense)	float	1500	1500	1500	1.7427	0.209158
matmul(Dense,CRS,Dense)	float	2000	2000	2000	3.57484	0.181267
matmul(Dense,CRS,Dense)	float	2500	2500	2500	5.74328	0.176293
matmul(Dense,CRS,Dense)	float	3000	3000	3000	8.27279	0.17624
matmul(Dense,CRS,Dense)	double	1000	1000	1000	0.847204	0.191217
matmul(Dense,CRS,Dense)	double	1500	1500	1500	2.14778	0.16971
matmul(Dense,CRS,Dense)	double	2000	2000	2000	4.0184	0.161258
matmul(Dense,CRS,Dense)	double	2500	2500	2500	6.5014	0.155736
matmul(Dense,CRS,Dense)	double	3000	3000	3000	9.20337	0.15842
