func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
v_minus	float	1000	0.00183096	0.000546162	0.00436929
v_minus	float	2000	0.00182775	0.00109424	0.00875393
v_minus	float	4000	0.00183528	0.0021795	0.017436
v_minus	float	8000	0.00186147	0.00429769	0.0343815
v_minus	float	16000	0.00192066	0.00833047	0.0666438
v_minus	float	32000	0.00220601	0.0145058	0.116046
v_minus	float	64000	0.0024902	0.0257007	0.205606
v_minus	float	128000	0.00309738	0.0413252	0.330602
v_minus	float	256000	0.00435582	0.058772	0.470176
v_minus	float	512000	0.00624822	0.0819433	0.655547
v_minus	float	1024000	0.0102962	0.0994544	0.795635
v_minus	float	2048000	0.0179954	0.113807	0.910454
v_minus	float	4096000	0.033827	0.121087	0.968693
v_minus	float	8192000	0.0666419	0.122926	0.983406
v_minus	float	16384000	0.130702	0.125354	1.00283
v_minus	float	32768000	0.25729	0.127358	1.01887
