func	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	float	1000	1000	1000	0.00714349	279.975
matmul(Dense,Dense,Dense)	float	1500	1500	1500	0.0133391	506.029
matmul(Dense,Dense,Dense)	float	2000	2000	2000	0.0310832	514.747
matmul(Dense,Dense,Dense)	float	2500	2500	2500	0.0603478	517.832
matmul(Dense,Dense,Dense)	float	3000	3000	3000	0.102777	525.407
matmul(Dense,Dense,Dense)	float	3500	3500	3500	0.160071	535.699
matmul(Dense,Dense,Dense)	float	4000	4000	4000	0.238767	536.088
matmul(Dense,Dense,Dense)	float	4500	4500	4500	0.329531	553.059
matmul(Dense,Dense,Dense)	float	5000	5000	5000	0.451068	554.24
matmul(Dense,Dense,Dense)	double	1000	1000	1000	0.00866693	230.762
matmul(Dense,Dense,Dense)	double	1500	1500	1500	0.0273499	246.801
matmul(Dense,Dense,Dense)	double	2000	2000	2000	0.061715	259.256
matmul(Dense,Dense,Dense)	double	2500	2500	2500	0.114456	273.03
matmul(Dense,Dense,Dense)	double	3000	3000	3000	0.194142	278.147
matmul(Dense,Dense,Dense)	double	3500	3500	3500	0.301402	284.503
matmul(Dense,Dense,Dense)	double	4000	4000	4000	0.455582	280.959
matmul(Dense,Dense,Dense)	double	4500	4500	4500	0.662164	275.234
matmul(Dense,Dense,Dense)	double	5000	5000	5000	0.917002	272.628
