func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00850329	235.203
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0245596	274.841
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0325989	490.815
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0662134	471.959
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.112623	479.475
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.168474	508.982
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.260692	491
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.337815	539.497
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.454324	550.269
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0137314	145.652
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0327316	206.223
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.066226	241.597
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.115209	271.246
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.221201	244.121
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.321648	266.596
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.479206	267.109
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.680036	268.001
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.919443	271.904
