func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,CRS,Dense)	CRS	float	1000	1000	1000	0.0361338	4.48333
matmul(Dense,CRS,Dense)	CRS	float	1500	1500	1500	0.0514673	7.08216
matmul(Dense,CRS,Dense)	CRS	float	2000	2000	2000	0.102472	6.32366
matmul(Dense,CRS,Dense)	CRS	float	2500	2500	2500	0.135132	7.49268
matmul(Dense,CRS,Dense)	CRS	float	3000	3000	3000	0.169264	8.61376
matmul(Dense,CRS,Dense)	CRS	double	1000	1000	1000	0.0360915	4.48859
matmul(Dense,CRS,Dense)	CRS	double	1500	1500	1500	0.058975	6.18059
matmul(Dense,CRS,Dense)	CRS	double	2000	2000	2000	0.084003	7.71401
matmul(Dense,CRS,Dense)	CRS	double	2500	2500	2500	0.112827	8.97392
matmul(Dense,CRS,Dense)	CRS	double	3000	3000	3000	0.144307	10.1035
