func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00837275	238.87
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00481361	1402.27
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.00913783	1750.96
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0156443	1997.53
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0263178	2051.84
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0415326	2064.64
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0615392	2079.98
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0890357	2046.93
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.122851	2034.99
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0276063	72.4472
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0879213	76.7732
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.207614	77.0661
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.403742	77.4008
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.67856	79.5803
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.08538	79.0048
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.61474	79.2697
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.3044	79.0879
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.16626	78.9574
