func	kind	prec	M	N	time[sec]
transpose(Dense)	Dense	float	1000	1000	0.00290383
transpose(Dense)	Dense	float	2000	2000	0.0153083
transpose(Dense)	Dense	float	3000	3000	0.0496758
transpose(Dense)	Dense	float	4000	4000	0.0981487
transpose(Dense)	Dense	float	5000	5000	0.154633
transpose(Dense)	Dense	float	6000	6000	0.215602
transpose(Dense)	Dense	float	7000	7000	0.318202
transpose(Dense)	Dense	float	8000	8000	0.403659
transpose(Dense)	Dense	float	9000	9000	0.526807
transpose(Dense)	Dense	float	10000	10000	0.614474
transpose(Dense)	Dense	double	1000	1000	0.00356933
transpose(Dense)	Dense	double	2000	2000	0.0285621
transpose(Dense)	Dense	double	3000	3000	0.0743057
transpose(Dense)	Dense	double	4000	4000	0.153928
transpose(Dense)	Dense	double	5000	5000	0.229485
transpose(Dense)	Dense	double	6000	6000	0.358685
transpose(Dense)	Dense	double	7000	7000	0.454572
transpose(Dense)	Dense	double	8000	8000	0.620755
transpose(Dense)	Dense	double	9000	9000	0.756678
transpose(Dense)	Dense	double	10000	10000	0.929135
