func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00904084	221.218
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.0276581	244.051
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.057742	277.094
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0708442	441.109
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.108055	499.746
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.167195	512.875
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.247119	517.968
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.353014	516.268
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.483066	517.528
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0155836	128.34
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.028831	234.123
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.0690193	231.819
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.117396	266.193
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.210423	256.626
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	0.322329	266.033
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	0.487363	262.638
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	0.709881	256.733
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	0.918276	272.249
