func	kind	prec	M	N	K	time[sec]	perf[GFLOPS]
matmul(Dense,Dense,Dense)	Dense	float	1000	1000	1000	0.00843501	237.107
matmul(Dense,Dense,Dense)	Dense	float	1500	1500	1500	0.00378377	1783.93
matmul(Dense,Dense,Dense)	Dense	float	2000	2000	2000	0.0081903	1953.53
matmul(Dense,Dense,Dense)	Dense	float	2500	2500	2500	0.0154816	2018.53
matmul(Dense,Dense,Dense)	Dense	float	3000	3000	3000	0.0262326	2058.51
matmul(Dense,Dense,Dense)	Dense	float	3500	3500	3500	0.0418745	2047.79
matmul(Dense,Dense,Dense)	Dense	float	4000	4000	4000	0.0618262	2070.32
matmul(Dense,Dense,Dense)	Dense	float	4500	4500	4500	0.0899589	2025.92
matmul(Dense,Dense,Dense)	Dense	float	5000	5000	5000	0.123709	2020.86
matmul(Dense,Dense,Dense)	Dense	double	1000	1000	1000	0.0280033	71.4202
matmul(Dense,Dense,Dense)	Dense	double	1500	1500	1500	0.0887888	76.0231
matmul(Dense,Dense,Dense)	Dense	double	2000	2000	2000	0.209811	76.2589
matmul(Dense,Dense,Dense)	Dense	double	2500	2500	2500	0.408154	76.5643
matmul(Dense,Dense,Dense)	Dense	double	3000	3000	3000	0.685234	78.8051
matmul(Dense,Dense,Dense)	Dense	double	3500	3500	3500	1.09342	78.4238
matmul(Dense,Dense,Dense)	Dense	double	4000	4000	4000	1.631	78.4797
matmul(Dense,Dense,Dense)	Dense	double	4500	4500	4500	2.32772	78.2954
matmul(Dense,Dense,Dense)	Dense	double	5000	5000	5000	3.19633	78.2147
