func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sum	float	1000	0.000934394	0.00107021	0.00428085	
sum	float	10000	0.000944326	0.0105896	0.0423582	
sum	float	100000	0.00103462	0.0966537	0.386615	
sum	float	1000000	0.0019368	0.516315	2.06526	
sum	float	10000000	0.0110369	0.90605	3.6242	
sum	float	100000000	0.082461	1.21269	4.85078	
sum	double	1000	0.000722538	0.00138401	0.0110721	
sum	double	10000	0.000736517	0.0135774	0.108619	
sum	double	100000	0.000849962	0.117652	0.941219	
sum	double	1000000	0.00198056	0.504907	4.03925	
sum	double	10000000	0.0131724	0.759166	6.07333	
sum	double	100000000	0.125974	0.793817	6.35054	
