func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_sub	float	1000	1.69524e-05	0.117977	0.47191	
sv_sub	float	10000	2.46223e-05	0.812272	3.24909	
sv_sub	float	100000	0.000146564	1.3646	5.45838	
sv_sub	float	1000000	0.000834477	2.39671	9.58685	
sv_sub	float	10000000	0.0233894	0.85509	3.42036	
sv_sub	float	100000000	0.223172	0.896168	3.58467	
sv_sub	double	1000	1.81026e-05	0.110481	0.883851	
sv_sub	double	10000	3.41108e-05	0.586325	4.6906	
sv_sub	double	100000	0.000138617	1.44282	11.5426	
sv_sub	double	1000000	0.00155358	1.28735	10.2988	
sv_sub	double	10000000	0.0480701	0.416059	3.32847	
sv_sub	double	100000000	0.406295	0.492253	3.93803	
