func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
dot	float	1000	2.388e-07	8.37521	33.5008	
dot	float	10000	9.0232e-06	2.21651	8.86603	
dot	float	100000	1.02739e-05	19.4668	77.8672	
dot	float	1000000	2.92172e-05	68.4528	273.811	
dot	float	10000000	0.00155998	12.8207	51.2828	
dot	float	100000000	0.0149865	13.3454	53.3814	
dot	double	1000	5.222e-07	3.82995	30.6396	
dot	double	10000	8.1994e-06	2.4392	19.5136	
dot	double	100000	0.00366542	0.0545639	0.436512	
dot	double	1000000	4.76053e-05	42.0121	336.097	
dot	double	10000000	0.0163446	1.22364	9.78916	
dot	double	100000000	0.0629431	3.17747	25.4198	
