func	prec	M	N	time[sec]
transpose(Dense)	float	1000	1000	0.00371589	
transpose(Dense)	float	2000	2000	0.016002	
transpose(Dense)	float	3000	3000	0.0496023	
transpose(Dense)	float	4000	4000	0.0978265	
transpose(Dense)	float	5000	5000	0.153309	
transpose(Dense)	float	6000	6000	0.213481	
transpose(Dense)	float	7000	7000	0.317012	
transpose(Dense)	float	8000	8000	0.401806	
transpose(Dense)	float	9000	9000	0.524617	
transpose(Dense)	float	10000	10000	0.611783	
transpose(Dense)	double	1000	1000	0.00385241	
transpose(Dense)	double	2000	2000	0.0290261	
transpose(Dense)	double	3000	3000	0.0745588	
transpose(Dense)	double	4000	4000	0.153085	
transpose(Dense)	double	5000	5000	0.228587	
transpose(Dense)	double	6000	6000	0.357038	
transpose(Dense)	double	7000	7000	0.45163	
transpose(Dense)	double	8000	8000	0.616127	
transpose(Dense)	double	9000	9000	0.753075	
transpose(Dense)	double	10000	10000	0.925369	
