func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	6.11482e-05	16.3537	130.83	
mscal(Dense)	float	2000	2000	9.93604e-05	40.2575	322.06	
mscal(Dense)	float	3000	3000	0.000259187	34.7239	277.791	
mscal(Dense)	float	4000	4000	0.00552352	2.89671	23.1736	
mscal(Dense)	float	5000	5000	0.0106415	2.3493	18.7944	
mscal(Dense)	float	6000	6000	0.0154772	2.326	18.608	
mscal(Dense)	float	7000	7000	0.0213682	2.29312	18.345	
mscal(Dense)	float	8000	8000	0.0285215	2.24392	17.9514	
mscal(Dense)	float	9000	9000	0.0181381	4.46573	35.7258	
mscal(Dense)	float	10000	10000	0.0501194	1.99524	15.9619	
mscal(Dense)	double	1000	1000	4.90505e-05	20.3872	326.194	
mscal(Dense)	double	2000	2000	0.000197395	20.2639	324.222	
mscal(Dense)	double	3000	3000	0.00684015	1.31576	21.0522	
mscal(Dense)	double	4000	4000	0.0138371	1.15631	18.501	
mscal(Dense)	double	5000	5000	0.0220213	1.13526	18.1642	
mscal(Dense)	double	6000	6000	0.0319838	1.12557	18.0091	
mscal(Dense)	double	7000	7000	0.04319	1.13452	18.1523	
mscal(Dense)	double	8000	8000	0.0575158	1.11274	17.8038	
mscal(Dense)	double	9000	9000	0.0592482	1.36713	21.8741	
mscal(Dense)	double	10000	10000	0.0854136	1.17077	18.7324	
