func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00137857	0.725389	
m_tanh(Dense)	float	2000	2000	0.00429503	0.931308	
m_tanh(Dense)	float	3000	3000	0.00949836	0.947532	
m_tanh(Dense)	float	4000	4000	0.0175933	0.909439	
m_tanh(Dense)	float	5000	5000	0.0264554	0.944986	
m_tanh(Dense)	float	6000	6000	0.0375503	0.958715	
m_tanh(Dense)	float	7000	7000	0.0510926	0.959042	
m_tanh(Dense)	float	8000	8000	0.0666775	0.959844	
m_tanh(Dense)	float	9000	9000	0.0843553	0.960225	
m_tanh(Dense)	float	10000	10000	0.104023	0.961325	
m_tanh(Dense)	double	1000	1000	0.00287381	0.34797	
m_tanh(Dense)	double	2000	2000	0.0113952	0.351025	
m_tanh(Dense)	double	3000	3000	0.0255675	0.35201	
m_tanh(Dense)	double	4000	4000	0.045859	0.348896	
m_tanh(Dense)	double	5000	5000	0.0714307	0.34999	
m_tanh(Dense)	double	6000	6000	0.103002	0.349509	
m_tanh(Dense)	double	7000	7000	0.140518	0.34871	
m_tanh(Dense)	double	8000	8000	0.183506	0.348762	
m_tanh(Dense)	double	9000	9000	0.232514	0.348366	
