func	prec	M	N	time[sec]	perf[GFLOPS] 
mscal(Dense)	float	1000	1000	0.00228897	0.436879	3.49503	
mscal(Dense)	float	2000	2000	0.00603396	0.662914	5.30331	
mscal(Dense)	float	3000	3000	0.0120757	0.7453	5.9624	
mscal(Dense)	float	4000	4000	0.0191142	0.837074	6.69659	
mscal(Dense)	float	5000	5000	0.0268287	0.931838	7.4547	
mscal(Dense)	float	6000	6000	0.0384007	0.937482	7.49986	
mscal(Dense)	float	7000	7000	0.051381	0.95366	7.62928	
mscal(Dense)	float	8000	8000	0.067326	0.950598	7.60479	
mscal(Dense)	float	9000	9000	0.0859626	0.94227	7.53816	
mscal(Dense)	float	10000	10000	0.104952	0.952813	7.6225	
mscal(Dense)	double	1000	1000	0.00215107	0.464886	7.43817	
mscal(Dense)	double	2000	2000	0.00621941	0.643148	10.2904	
mscal(Dense)	double	3000	3000	0.0129131	0.696965	11.1514	
mscal(Dense)	double	4000	4000	0.0222601	0.718776	11.5004	
mscal(Dense)	double	5000	5000	0.0344689	0.725291	11.6047	
mscal(Dense)	double	6000	6000	0.0493407	0.729621	11.6739	
mscal(Dense)	double	7000	7000	0.0664722	0.73715	11.7944	
mscal(Dense)	double	8000	8000	0.0865734	0.739257	11.8281	
mscal(Dense)	double	9000	9000	0.110345	0.734061	11.745	
