func	prec	M	N	time[sec]
convert(COO,Dense)	float	1000	1000	0.00239934	
convert(COO,Dense)	float	2000	2000	0.00570305	
convert(COO,Dense)	float	3000	3000	0.0165539	
convert(COO,Dense)	float	4000	4000	0.0280288	
convert(COO,Dense)	float	5000	5000	0.043084	
convert(COO,Dense)	float	6000	6000	0.0607182	
convert(COO,Dense)	float	7000	7000	0.0812751	
convert(COO,Dense)	float	8000	8000	0.105156	
convert(COO,Dense)	float	9000	9000	0.12977	
convert(COO,Dense)	float	10000	10000	0.159689	
convert(COO,Dense)	double	1000	1000	0.0030309	
convert(COO,Dense)	double	2000	2000	0.00936442	
convert(COO,Dense)	double	3000	3000	0.0302072	
convert(COO,Dense)	double	4000	4000	0.0527567	
convert(COO,Dense)	double	5000	5000	0.0801491	
convert(COO,Dense)	double	6000	6000	0.114009	
convert(COO,Dense)	double	7000	7000	0.152012	
convert(COO,Dense)	double	8000	8000	0.198283	
convert(COO,Dense)	double	9000	9000	0.249579	
convert(COO,Dense)	double	10000	10000	0.305374	
