func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
sv_mul	float	1000	1.70865e-05	0.117051	0.468206	
sv_mul	float	10000	2.51054e-05	0.796641	3.18657	
sv_mul	float	100000	0.00011568	1.72891	6.91563	
sv_mul	float	1000000	0.000834089	2.39783	9.59131	
sv_mul	float	10000000	0.0234675	0.852242	3.40897	
sv_mul	float	100000000	0.222219	0.900012	3.60005	
sv_mul	double	1000	1.86689e-05	0.10713	0.85704	
sv_mul	double	10000	3.47951e-05	0.574794	4.59835	
sv_mul	double	100000	0.000142526	1.40325	11.226	
sv_mul	double	1000000	0.00152973	1.30742	10.4593	
sv_mul	double	10000000	0.0495861	0.403339	3.22671	
sv_mul	double	100000000	0.44626	0.448169	3.58535	
