func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.017141	0.116679	
mv_mul(Dense)	float	2000	2000	0.00158581	5.04474	
mv_mul(Dense)	float	3000	3000	0.00181225	9.9324	
mv_mul(Dense)	float	4000	4000	0.00233302	13.7161	
mv_mul(Dense)	float	5000	5000	0.00236101	21.1773	
mv_mul(Dense)	float	6000	6000	0.00273298	26.3449	
mv_mul(Dense)	float	7000	7000	0.00321608	30.4719	
mv_mul(Dense)	float	8000	8000	0.00390822	32.7514	
mv_mul(Dense)	float	9000	9000	0.00461788	35.081	
mv_mul(Dense)	float	10000	10000	0.00527679	37.9018	
mv_mul(Dense)	double	1000	1000	0.00128752	1.55338	
mv_mul(Dense)	double	2000	2000	0.00153738	5.20365	
mv_mul(Dense)	double	3000	3000	0.00192228	9.3639	
mv_mul(Dense)	double	4000	4000	0.00253474	12.6246	
mv_mul(Dense)	double	5000	5000	0.00331374	15.0887	
mv_mul(Dense)	double	6000	6000	0.00420224	17.1337	
mv_mul(Dense)	double	7000	7000	0.00517045	18.9539	
mv_mul(Dense)	double	8000	8000	0.00648169	19.7479	
mv_mul(Dense)	double	9000	9000	0.00799011	20.2751	
