func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.00188944	1.05852	
matvec(Dense)	float	2000	2000	6.34796e-05	126.025	
matvec(Dense)	float	3000	3000	0.000170904	105.322	
matvec(Dense)	float	4000	4000	0.0050175	6.37767	
matvec(Dense)	float	5000	5000	0.00952005	5.25207	
matvec(Dense)	float	6000	6000	0.0142472	5.05361	
matvec(Dense)	float	7000	7000	0.0154621	6.33808	
matvec(Dense)	float	8000	8000	0.0200585	6.38134	
matvec(Dense)	float	9000	9000	0.0245339	6.6031	
matvec(Dense)	float	10000	10000	0.0325537	6.1437	
matvec(Dense)	double	1000	1000	0.000820402	2.43783	
matvec(Dense)	double	2000	2000	0.000134865	59.3185	
matvec(Dense)	double	3000	3000	0.00421434	4.27113	
matvec(Dense)	double	4000	4000	0.00938369	3.41017	
matvec(Dense)	double	5000	5000	0.0146875	3.40426	
matvec(Dense)	double	6000	6000	0.0185008	3.89173	
matvec(Dense)	double	7000	7000	0.0311616	3.14489	
matvec(Dense)	double	8000	8000	0.0409015	3.12947	
matvec(Dense)	double	9000	9000	0.050705	3.19495	
matvec(Dense)	double	10000	10000	0.0358379	5.58068	
