func	prec	M	N	time[sec]	perf[GFLOPS] 
m_tanh(Dense)	float	1000	1000	0.00259709	0.385047	
m_tanh(Dense)	float	2000	2000	0.00119226	3.35497	
m_tanh(Dense)	float	3000	3000	0.00272495	3.30281	
m_tanh(Dense)	float	4000	4000	0.00522691	3.06108	
m_tanh(Dense)	float	5000	5000	0.00935603	2.67207	
m_tanh(Dense)	float	6000	6000	0.0133224	2.70222	
m_tanh(Dense)	float	7000	7000	0.0188068	2.60544	
m_tanh(Dense)	float	8000	8000	0.0242915	2.63466	
m_tanh(Dense)	float	9000	9000	0.0305512	2.65128	
m_tanh(Dense)	float	10000	10000	0.0382727	2.61283	
m_tanh(Dense)	double	1000	1000	0.00496937	0.201233	
m_tanh(Dense)	double	2000	2000	0.00292229	1.36879	
m_tanh(Dense)	double	3000	3000	0.0069746	1.2904	
m_tanh(Dense)	double	4000	4000	0.0124974	1.28027	
m_tanh(Dense)	double	5000	5000	0.0190755	1.31058	
m_tanh(Dense)	double	6000	6000	0.028131	1.27973	
m_tanh(Dense)	double	7000	7000	0.0387312	1.26513	
m_tanh(Dense)	double	8000	8000	0.0515037	1.24263	
m_tanh(Dense)	double	9000	9000	0.0644814	1.25618	
m_tanh(Dense)	double	10000	10000	0.0804226	1.24343	
