func	prec	M	N	time[sec]	perf[GFLOPS] 
mv_mul(Dense)	float	1000	1000	0.00173418	1.15328	
mv_mul(Dense)	float	2000	2000	6.90646e-05	115.834	
mv_mul(Dense)	float	3000	3000	0.000187313	96.0958	
mv_mul(Dense)	float	4000	4000	0.00505831	6.32622	
mv_mul(Dense)	float	5000	5000	0.00931273	5.369	
mv_mul(Dense)	float	6000	6000	0.0145064	4.96332	
mv_mul(Dense)	float	7000	7000	0.0197216	4.96918	
mv_mul(Dense)	float	8000	8000	0.0264363	4.84183	
mv_mul(Dense)	float	9000	9000	0.0168844	9.59463	
mv_mul(Dense)	float	10000	10000	0.0427688	4.6763	
mv_mul(Dense)	double	1000	1000	0.000141465	14.1378	
mv_mul(Dense)	double	2000	2000	0.000141083	56.7041	
mv_mul(Dense)	double	3000	3000	0.0059922	3.0039	
mv_mul(Dense)	double	4000	4000	0.0127275	2.51424	
mv_mul(Dense)	double	5000	5000	0.0200581	2.49276	
mv_mul(Dense)	double	6000	6000	0.0303146	2.37509	
mv_mul(Dense)	double	7000	7000	0.0415799	2.35691	
mv_mul(Dense)	double	8000	8000	0.0468372	2.73287	
mv_mul(Dense)	double	9000	9000	0.0412074	3.93133	
mv_mul(Dense)	double	10000	10000	0.0671491	2.97845	
