func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
vv_mul	float	1000	1.6529e-05	0.120999	0.725997	
vv_mul	float	10000	2.47734e-05	0.807318	4.84391	
vv_mul	float	100000	0.000110746	1.80593	10.8356	
vv_mul	float	1000000	0.000825788	2.42193	14.5316	
vv_mul	float	10000000	0.0246751	0.810533	4.8632	
vv_mul	float	100000000	0.229355	0.872012	5.23207	
vv_mul	double	1000	0.00136857	0.00146138	0.0175366	
vv_mul	double	10000	3.4028e-05	0.587751	7.05302	
vv_mul	double	100000	0.000138143	1.44777	17.3733	
vv_mul	double	1000000	0.00165909	1.20548	14.4658	
vv_mul	double	10000000	0.0401508	0.498122	5.97746	
vv_mul	double	100000000	0.495283	0.403809	4.84571	
