func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
xpay	float	1000	0.000930346	0.00322461	0.00859896	
xpay	float	10000	0.000974635	0.0307807	0.082082	
xpay	float	100000	0.0013908	0.215703	0.575207	
xpay	float	1000000	0.00533632	0.562185	1.49916	
xpay	float	10000000	0.0383951	0.781349	2.0836	
xpay	float	100000000	0.391865	0.76557	2.04152	
xpay	double	1000	0.000731264	0.00410249	0.0218799	
xpay	double	10000	0.000769443	0.0389893	0.207943	
xpay	double	100000	0.00118397	0.253384	1.35138	
xpay	double	1000000	0.00479858	0.625184	3.33432	
xpay	double	10000000	0.041443	0.723885	3.86072	
xpay	double	100000000	0.418034	0.717645	3.82744	
