func	prec	M	N	time[sec]	perf[GFLOPS] 
matvec(Dense)	float	1000	1000	0.0162287	0.123239	
matvec(Dense)	float	2000	2000	0.000683161	11.7103	
matvec(Dense)	float	3000	3000	0.000895281	20.1054	
matvec(Dense)	float	4000	4000	0.00121101	26.4243	
matvec(Dense)	float	5000	5000	0.00153139	32.65	
matvec(Dense)	float	6000	6000	0.00196801	36.5852	
matvec(Dense)	float	7000	7000	0.00248393	39.4536	
matvec(Dense)	float	8000	8000	0.00316807	40.4032	
matvec(Dense)	float	9000	9000	0.00379026	42.7411	
matvec(Dense)	float	10000	10000	0.00453729	44.0792	
matvec(Dense)	double	1000	1000	0.000543387	3.68062	
matvec(Dense)	double	2000	2000	0.000816396	9.79916	
matvec(Dense)	double	3000	3000	0.00120678	14.9157	
matvec(Dense)	double	4000	4000	0.00182914	17.4946	
matvec(Dense)	double	5000	5000	0.00249407	20.0475	
matvec(Dense)	double	6000	6000	0.00344891	20.8762	
matvec(Dense)	double	7000	7000	0.00442731	22.1353	
matvec(Dense)	double	8000	8000	0.00568998	22.4957	
matvec(Dense)	double	9000	9000	0.00709222	22.8419	
