func	prec	size	time[sec]	perf[GFLOPS]	mem[GB/s]
nrm2	float	1000	0.000513168	0.00389736	0.00779471	
nrm2	float	10000	0.000517213	0.0386688	0.0773375	
nrm2	float	100000	0.000520196	0.384471	0.768941	
nrm2	float	1000000	0.000558207	3.5829	7.1658	
nrm2	float	10000000	0.00094961	21.0613	42.1226	
nrm2	float	100000000	0.00474326	42.1651	84.3302	
nrm2	double	1000	0.000536228	0.00372975	0.014919	
nrm2	double	10000	0.00055168	0.0362529	0.145012	
nrm2	double	100000	0.000558898	0.357847	1.43139	
nrm2	double	1000000	0.000626818	3.19072	12.7629	
nrm2	double	10000000	0.00133892	14.9375	59.7498	
nrm2	double	100000000	0.00858851	23.2869	93.1478	
